Arte
Arte (L2)
Biologia
Ciências Globais (L2)
Ciências (L2)
Ciências Naturais
Ciências Naturais/Ciências Naturais (L2)
Ciências Naturais (L2)
Ciências Sociais
Ciências Sociais (L2)
Cultura Mundial (L2)
Desenvolvimento Infantil
Desenvolvimento Infantil 2025
Educação Física (L2)
Eletiva - Espanhol
Eletiva - Japonês
Eletiva (L2) ou (L3)
Empreendedorismo e Inovação
Ensino Religioso
Ensino Religioso (L2)
Espanhol (L3)
Extracurricular teste
Filosofia
Física
Geografia
Geografia e História
Gramática
Gramática e Literatura
História
História Americana (L2)
História/Geografia
Inglês (L2)
Língua Inglesa e Literatura (L2)
Língua Portuguesa
Literatura
Matemática
Matemática (L2)
Matemática/Matemática (L2)
Música (L2)
Oratória (L2)
Orientação Profissional II (L2)
Política Americana (L2)/Debate (L2)
Produção de Texto
Projeto Steam (L2)
Projeto Stem (L2)
Projeto STEM (L2)
Química
Sociologia (L2)
Teatro (L2)
